title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Fascynacje ",Mieczysław Zyner,"
literatura piękna ",Księży Młyn Dom Wydawniczy,"
9788377293232 ","
Fascynacje to książka nie o samej o Łodzi, choć można w niej znaleźć fragmenty poświęcone miastu, które niegdyś nazywano stolicą włókniarzy. Autor z dość dużą swobodą wplata mało znane lub znane tylko niewielkiej grupie osób ciekawostki o dawnej Łodzi.

Fascynacje to powieść nie o miłości, chociaż miłość i namiętność mocno zaznaczają się w życiu głównego bohatera Tomasza Rudo-Wolskiego – profesora uczelni artystycznej, znanego muzyka. Zainspirowany historią zagadkowej miłości 60-letniego francuskiego malarza Forastero i 16-letniej, zjawiskowo pięknej Julity, postanawia, nieoczekiwanie nawet dla siebie, zgłębić, na ile fikcja literacka przesłania rzeczywistość. Podróż w świat Forastero i Julity dostarcza mu wielu wrażeń, którymi dzieli się z czytelnikami.

Fascynacje to powieść refleksyjna – skłania do zastanowienia się nad życiem jej bohaterów. Jakkolwiek autor opisuje wydarzenia z ostatnich lat, a właściwie z kilku miesięcy, to czytelnik poznaje też czasy minione, nie gubiąc głównego wątku powieści. Różnorodność opisywanych zdarzeń, zaskakujące zwroty akcji i ciekawie zbudowane postaci to niewątpliwie dodatkowe walory powieści. ",,"
2016-01-01 ","
2016-01-01 ","
226 ","
polski ",,"

Nie sposób zgodzić się z opinią poprzednika.
Książka jest wyjątkowa, wyjątkowo nastrojowa. Zawiera liczne opisy ciekawych, miejsc i zdarzeń, jednak pomimo ilości czyta się niezwykle lekko i przyjemnie. Historia opisana w książce także intrygująca, po przeczytaniu liczę, że autor pokusi się o kontynuację. Historia idealna, nie zbyt długa i pozostawiająca niedosyt, nie przeciagnieta. Moja uwagę przykul także język wykorzystany w książce, pięknie napisana, ale to charakterystyczne dla tego autora - polecam nowe wydawnictwo - Reflesenty Mieczysława Zynera. O ile przy fasycynacjach można odnieść wrażenie, że to książka głównie kobieca, tak Reflesenty to mocne pióro. Fascynacje to książka porywająca, odrywajaca od rzeczywistości i idealna na odprezajacy wieczór... Piękna. 

Nie sposób zgodzić się z opinią poprzednika.
Książka jest wyjątkowa, wyjątkowo nastrojowa. Zawiera liczne opisy ciekawych, miejsc i zdarzeń, jednak pomimo ilości czyta się niezwykle lekko i przyjemnie. Historia opisana w książce także intrygująca, po przeczytaniu liczę, że autor pokusi się o kontynuację. Historia idealna, nie zbyt długa i pozostawiająca niedosyt, nie... 

więcej



mniej





Pokaż mimo to


;

Nudna, sztampowa, zupełnie niewarta uwagi. Główny bohater to puszczalski kompozytor i profesor po pięćdziesiątce, który jest powszechnie lubiany i doceniany zawodowo. Cała fabuła opiera się właściwie na jego płytkich rozmyślaniach dotyczących, z którą kobietą byłoby mu lepiej. Sam język stosowany w powieści jest bardzo sztywny, a niektóre opisy totalnie nic nie wnoszą. 
Jedyne co zasługuje na uwagę, to fragmenty związane z Łodzią. To jednak też niekiedy czyta się jak kiepską publicystykę, w której autor ocenia, co władze miasta zrobiły dobrze, a co źle. 

Nudna, sztampowa, zupełnie niewarta uwagi. Główny bohater to puszczalski kompozytor i profesor po pięćdziesiątce, który jest powszechnie lubiany i doceniany zawodowo. Cała fabuła opiera się właściwie na jego płytkich rozmyślaniach dotyczących, z którą kobietą byłoby mu lepiej. Sam język stosowany w powieści jest bardzo sztywny, a niektóre opisy totalnie nic nie wnoszą.... 

więcej



mniej





Pokaż mimo to


;

reflesenty oraz wiersze w cieniu 

reflesenty oraz wiersze w cieniu 



Pokaż mimo to


",
"
Mosty i przeprawy ",Adam Jońca,"
militaria, wojskowość ",Edipresse,"
9788379453191 ",,,"
2016-01-01 ","
2016-01-01 ","
64 ","
polski ",,,
"
Tylko świnie siedzą w kinie. Prasa literatura satyra ",Aneta Ignatowicz,"
historia ",Edipresse,"
9788379895298 ",,,"
2016-01-01 ","
2016-01-01 ","
 64 ","
polski ",,,
"
Akcja ""N"" ",Piotr Rozwadowski,"
historia ",Edipresse,"
9788379895304 ",,,"
2016-01-01 ","
2016-01-01 ","
64 ","
polski ",,,
"
Napad ",Szymon Jakubowski,"
literatura piękna ",Znak,"
9788394580810 ","
Trzech staruszków napada na bank. Uzbrojeni, w maskach na twarzy, pod okiem monitoringu 
- wchodzą do banku i włamują się do podziemnego sejfu. 
Kiedy policja w końcu przyjeżdża na miejsce - okazuje się, że nic nie zgineło. Ale czy na pewno?

Napad to historia o tym, że przeciwieństwa się przyciągają.
Losy młodego hakera, trzech staruszków i policyjnego informatyka splatają się w tej historii jak warkocz pięknej dziewczyny. Bo jest tu i dziewczyna. 
Na końcu tej przygody czeka ich nagroda czy więzienna cela?

Napad to klasyczny motyw kryminalny z nieobojętnym społecznie tłem.
To dynamiczna opowieść, szalone tempo akcji, wiarygodne postacie, dowcipne dialogi i komiksowe ilustracje. A to wszytsko oparte jest na autentycznych zdarzeniach.

Gdy pierwszy raz przeczytałem o tym zwariowanym napadzie na bank artykuł w gazecie, 
wydało mi się to zabawne i nieporadne. 
Ale już po chwili zacząłem się zastanawiać: jak to - staruszkowie napadli na bank? Po co? 
Czemu miało to wszystko służyć? 
Co takiego wydarzyło się w ich życiach że podjęli się tak desperackiego kroku?
Te i kilka innych pytań zainspirowały mnie do napisania tej zwariowanej historii. 
Słodko gorzkiej komedii o współczesnej Polsce w której żeby wygrać życie - trzeba pokonać system.
NAPAD to kiedyś był scenariusz filmowy. 
Czytało go sporo ludzi i mieliśmy całkiem niezły feedback od nich.
(reżyserzy: Piotr Wereśniak, Jerzy Stuhr, aktorzy: Marian Dziędziel, Wojtek Zieliński) 
Jednak nie miał szczęścia do producentów.
Trochę poleżał w szufladzie i w końcu postanowiłem coś z nim zrobić żeby się tak nie kurzył.
Stąd pomysł na książkę.
Przerobiłem go - dopisałem opisy, rozwinąłem postaci i co najważniejsze zaprosiłem do współpracy rysownika: Janka Podgórskiego który wypełnił książkę swoimi fantastycznymi szkicami i ilustracjami.
Teraz NAPAD to nie tylko sam tekst. 
To już prawie kompletna wizja, pomysły, rozrysowane lokacje oraz projekty scen i rekwizytów.
Zależało mi na tempie opowiadania dlatego zrezygnowałem z klasycznej trójosobowej narracji i całą historię opowiadam w czasie rzeczywistym.
Z rozpisanymi dialogami tak, jakbyśmy je słyszeli, lub oglądali w filmie.
Z rozpisanymi dialogami tak, jakbyśmy je słyszeli, lub oglądali w filmie.
Bo ta książka - to prawie film: wystarczy zamknąć oczy i chcieć go zobaczyć. ",,"
2016-01-01 ","
2016-01-01 ","
220 ","
polski ",,,
"
Dookoła świata. Wierszyki o kontynentach ",Anna Paszkiewicz,"
literatura dziecięca ",Wydawnictwo SBM,"
9788380591486 ","
Chciałbyś zobaczyć różowe jezioro? A może wykute w skale zwierzęta – Wielbłąda, Słonia i Mamuta? Lub odkryć tajemnice Świątyni Pierzastego Węża? Z wierszykami Dookoła świata zostaniesz małym podróżnikiem i zwiedzisz cały świat! ",,"
2016-01-01 ","
2016-01-01 ","
64 ","
polski ",,"

Bezpretensjonalne utwory Anny Paszkiewicz to według mnie doskonała lektura do rozbudzenia zainteresowania pięknem naszego ziemskiego globu. ""Dookoła świata"" to nie jest wielka poezja, ale Autorka jest tego świadoma, o czym świadczy podtytuł: Wierszyki o kontynentach. Ideę całości znajdziemy w otwierającym zbiorek wierszyku ""Niezwykła podróż"": ""By na własne oczy ujrzeć/Wszystkie cuda tego świata,/Trzeba by się wybrać w podróż,/Która zajmie długie lata./I dlatego, moi mili,/Proponuję wam zabawę:/Nie wychodząc wcale z domu,/Wyruszymy na wyprawę (...)"". W tomiku opisano takie cuda jak Park narodowy w Tanzanii, posągi z Wyspy Wielkanocnej czy Góry Stołowe. Są tu miasta, zabytki, zwierzęta i rośliny. Każdy wierszyk opatrzony jest zdjęciem tego co zostało opisane wraz z zabawnymi rysunkami dzieci zwiedzających świat.
""Dookoła świata"" to ciekawa propozycja edukacyjna, polecam. 

Bezpretensjonalne utwory Anny Paszkiewicz to według mnie doskonała lektura do rozbudzenia zainteresowania pięknem naszego ziemskiego globu. ""Dookoła świata"" to nie jest wielka poezja, ale Autorka jest tego świadoma, o czym świadczy podtytuł: Wierszyki o kontynentach. Ideę całości znajdziemy w otwierającym zbiorek wierszyku ""Niezwykła podróż"": ""By na własne oczy... 

więcej



mniej





Pokaż mimo to


",
"
Był blues ",Krzysztof R. Traciłowski,"
muzyka ",WARSZAWSKA GRUPA WYDAWNICZA,"
9788365356680 ","
Gdyby nie blues, muzyka współczesna brzmiałaby zupełnie Inaczej. Krzysztof Traciłowski opowiada o korzeniach bluesa i muzykach, którzy go tworzyli i mieli największy wpływ na jego rozwój. Nie jest to jednak suchy naukowy wywód. „Był blues” to opowieść o pasji, jaką jest dla autora blues i muzyka w ogóle. I o sile muzyki, która ma moc porywania serc i zmieniania świata. ",,"
2016-01-01 ","
2016-01-01 ","
174 ","
polski ",,,
"
Wołanie z zaświatów ",Beata Legutko,"
religia ",Wydawnictwo M,"
9788380431263 ",,,"
2016-01-01 ","
2016-01-01 ",,,,,
"
Ten,który zawsze jest z tobą ",John Geiger,"
religia ",Amber,"
9788324158348 ","
Nawet gdy śmierć jest na wyciągnięcie ręki, nagle wśród strachu,paniki, krwi,rozpaczy, wyczerpania,udręczenia,samotności i beznadziejności pojawia się istota, która oferuje 'transfuzję energii, otuchę i pierwotną mądrość, która zdaje się płynąć z zewnętrznego żródła"" Ten Trzeci-żeby zacytować legendarnego włoskiego himalaistę Reinholda Messnera- ratuje cię z sytuacji bez wyjścia. ","
The Third Man Factor ","
2016-01-01 ","
2016-01-01 ",,"
polski ","
Ewa Spirydowicz ",,
"
Psi Patrol. Dzień bez wody ",praca zbiorowa,"
opowiadania, powieści dla dzieci ",Media Service Zawada,"
9788379944095 ","
Seria powstała na motywach popularnej bajki o przygodach sześciorga bohaterskich szczeniąt – Marshalla, Rubble'a, Chase'a, Rocky'ego, Zumy i Skye'a. Pieski wspólnie z dziesięcioletnim chłopcem Ryder'em wyruszają na ratunek potrzebującym i stawiają czoło zagrożeniom. Żadna praca nie jest dla nich niemożliwa, bo kieruje nimi dobroć i chęć pomocy innym. Do każdej akcji podchodzą z rozmysłem i wielkim zaangażowaniem. Psi Patrol to zgrany zespół, na którym można polegać. ",,"
 2016-01-01 ","
2016-01-01 ","
24 ","
polski ",,,
