title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Z ARCHIWUM SZ.2. ŚLADEM SZCZECIŃSKICH HISTORII NIEZWYKŁYCH ",praca zbiorowa,"
powieść historyczna ",Rebis,"
9788373019690 ","
Drugi tom rewelacyjnego zbioru reportaży o historii Szczecina.

Szczecin to ciekawe miasto!

Powtarzam to zdanie z uporem (szczecino)maniaka zawsze, wszędzie i wszystkim. Powtarzam je, licząc na to, że przyjdzie taki czas, kiedy zdanie to zawsze, wszędzie i z dumą powtarzać będą szczecinianie.

Bo czyż można mówić inaczej o mieście, którego losy i mieszkańcy tak mocno wiążą się z wielką historią? Przecież:

chyba nie będzie przesadą stwierdzenie, że w Szczecinie na pl. Mariackim ""urodził się"" kształt XVIII-wiecznej Europy i Azji;
na szczecińskich pochylniach pod koniec XIX w. rozpoczęto budowę największych statków świata, którym tak bardzo chciał dorównać czwartym kominem-atrapą sławny ""Titanic"" (aby choć wyglądem je przypominać);
to Szczecin może poszczycić się mieszkańcem, odtwarzającym jedną z głównych ról w kultowym filmie Metropolis z 1927 r., który na zawsze wszedł do historii kina;
Szczecin słowami Winstona Churchilla wypowiedzianymi w marcu 1946 r. wszedł do historii i przez blisko pół wieku łączono go z ""żelazną kurtyną"";
w procesie podnoszenia tej kurtyny ""historycznym zbiegiem okoliczności"" Szczecin zapisał się ustaleniem (na dzień przed Gdańskimi) Porozumień Sierpniowych.
Czy mam wymieniać dalej?

Mógłbym, ale dziś zamiast wymieniać polecam Z archiwum Sz., które po raz drugi otwiera swoje drzwi. A w nim kolejna porcja opowieści niezwykłych, bliskich, dalekich, radosnych, tajemniczych, często dramatycznych. Zachęcam do skorzystania z tej okazji i włączenia się w poszukiwania w tych wydarzeniach tożsamości Szczecina. Tożsamości budowanej także, a może przede wszystkim na historii. Naszej historii.

A to, że nie wszystkie wymienione na początku fakty zostały w obu częściach opisane napawa nadzieją że wkrótce doczekamy trzeciej odsłony ""Szczecińskich historii niezwykłych"", bo przecież:

Szczecin to ciekawe miasto!

- Arkadiusz Bis

sedina.pl

Portal Miłośników Dawnego Szczecina ",,"
2008-01-01 ","
2008-01-01  ","
284 ","
polski ",,,
"
Encyklopedia sztuk walki ",Jerzy Miłkowski,"
popularnonaukowa ",Algo,"
978-83-89683-23-7 ","
Polecam dla miłośników wszelkich Sztuk Walk. Można tu znaleźć znaczenie wszelkich haseł, komend, nazw często spotykanych we wszelakich sztukach walki. ",,"
2008-01-01 ","
2008-01-01 ","
422 ","
polski ",,"

Całkiem zróżnicowana, rzetelnie napisana, dobra książka. 

Całkiem zróżnicowana, rzetelnie napisana, dobra książka. 



Pokaż mimo to


;

Doskonałe kompendium wiedzy nt. sztuk walki, zwłaszcza jeśli chodzi o sporty pochodzenia koreańskiego i japońskiego.
Do tego świetne zdjęcia, np. takouby (miecza Tuaregów) albo paranga (malajskiej maczety). Mnie urzekły także ryciny twarzy największych mistrzów sportów walki. Nie wiem czy są autorstwa pana Jurka Miłkowskiego, ale jeśli tak to jest to kolejny talent tego niezwykłego człowieka.
Najbardziej podoba mi się jednak pasja jaka bije od tej książki. Widać, że autor zna się na rzeczy a encyklopedia nie powstała z chęci zarobku.
Czapki z głów. 

Doskonałe kompendium wiedzy nt. sztuk walki, zwłaszcza jeśli chodzi o sporty pochodzenia koreańskiego i japońskiego.
Do tego świetne zdjęcia, np. takouby (miecza Tuaregów) albo paranga (malajskiej maczety). Mnie urzekły także ryciny twarzy największych mistrzów sportów walki. Nie wiem czy są autorstwa pana Jurka Miłkowskiego, ale jeśli tak to jest to kolejny talent tego... 

więcej



mniej





Pokaż mimo to


",
"
Święto rewolucyjne 1789-1799 ",Mona Ozouf,"
powieść historyczna ",Oficyna Naukowa,"
9788374590525 ","
Współczesna wrażliwość oczekuje od święta tak jak i od rewolucji całkowitej przemiany dawnego świata. Lecz czy święto samo w sobie ma naturę rewolucyjną? Analiza świąt Rewolucji Francuskiej w oczywisty sposób powiązanych z wydarzeniami rewolucyjnymi pozwoli na to pytanie odpowiedzieć. Historycy proponują wiele typologii mających na celu usystematyzowanie świąt rewolucyjnych: przeciwstawiają sobie święta celebrowane przez konkurencyjne względem siebie grupy, podkreślają antagonizmy między Rozumem a Istotą Najwyższą i określają termidor jako swoisty przełom epok obrzędowych. Tym interpretacjom Mona Ozouf przeciwstawia własny, niezwykle spójny obraz święta. Kładzie nacisk na prawidłowości, nie zaś na różnice, łączy Mirabeau, Robespierre a, La Révelliere a-Lépeaux we wspólnej idei święta święta rewolucyjnego w jego szczególnym związku z czasem i miejscem, z jego wolą nauczania i utopijną ambicją porządkowania świata. Staje się ono niejako nauczycielem narodu. A wszystko to wbrew buntowniczej naturze rewolucji, rewolucji, która sama siebie definiuje w kategoriach porządku, nie zaś chaosu. Bez wahania więc możemy tutaj mówić o świętach rewolucyjnych: ludzie poszukują w nich uporządkowania czasu rewolucji, zaprzeczenia jej gwałtownym zmianom, w końcu zaś ustanowienia społeczeństwa chronionego przed wydarzeniami historii. To przedsięwzięcie jest wprowadzane w życie przez cały czas trwania tego burzliwego dziesięciolecia. Niestety, jest to przedsięwzięcie niemożliwe do realizacji, choć niepowodzenie świąt rewolucyjnych nie jest oczywiste. Po pierwsze dlatego, że stały się one trwałym elementem tradycji życia ludowego, ale przede wszystkim dlatego, że uosabiają nowe wartości rodzinne, społeczne i obywatelskie. U zarania epoki wartości laickich, liberalnych i nowoczesnych święta rewolucyjne z powodzeniem zastąpiły sferę sacrum. ",,"
2008-01-01 ","
2008-01-01 ","
368 ","
polski ",,"

Niezwykle ciekawe, obszerne i wieloaspektowe opracowanie, napisane w sposób jasny i przystępny. Zdecydowanie polecam! 

Niezwykle ciekawe, obszerne i wieloaspektowe opracowanie, napisane w sposób jasny i przystępny. Zdecydowanie polecam! 



Pokaż mimo to


",
"
Zamki w Polsce ",Konrad Kazimierz Czapliński,"
popularnonaukowa ",Videograf II,"
9788371836053 ","
O wyborze obiektów do niniejszego albumu zdecydowała wartość artystyczna, historyczna, a przede wszystkim rola, jaką pełnią one obecnie w pejzażu ",,"
2008-01-01 ","
2008-01-01 ","
144 ","
polski ",,,
"
Chemia organiczna ",Graham Patrick,"
nauki przyrodnicze (fizyka, chemia, biologia, itd.) ",Wydawnictwo Naukowe PWN,"
9788301137380 ","
Kompendium zawierające wszystkie podstawowe informacje dotyczące chemii organicznej - doskonałe źródło wiedzy do przedegzaminacyjnej powtórki wcześniej przyswajanego materiału. Książka przydatna studentom pierwszych trzech lat studiów chemicznych (do uzyskania stopnia licencjata) w uczelniach akademickich, jak też w wyższych szkołach zawodowych, ponadto wszystkim studentom tych kierunków studiów medycznych, na którym chemia jest przedmiotem pomocniczym. ","
Instant notes. Organic Chemistry ","
2008-01-01 ","
2008-01-01 ","
370 ","
polski ","
Zbigniew Zawadzki ","

Bardzo dobry podręcznik dla studentów. Książka zwięźle i przekrojowo zawiera najważniejsze zagadnienia z chemii organicznej. Idealna do nauki jak i robienia powtórzenia przed egzaminem. 

Bardzo dobry podręcznik dla studentów. Książka zwięźle i przekrojowo zawiera najważniejsze zagadnienia z chemii organicznej. Idealna do nauki jak i robienia powtórzenia przed egzaminem. 



Pokaż mimo to


",
"
Sedno zmian. Narzędzia i taktyki pozytywnej transformacji Twojej firmy ",Dan S. Cohen,"
biznes, finanse ",Onepress,"
9788324614691 ","
Wykorzystaj w praktyce, co znasz z teorii * Po pierwsze: wypracuj klimat sprzyjający transformacji * Po drugie: zaangażuj w ten proces całą organizację * Po trzecie: stale utrwalaj wprowadzone zmiany Myślę, więc wprowadzam zmiany Książka autorstwa Johna Kottera Jak przeprowadzić transformację firmy i zaproponowany w niej schemat ośmiu kroków stał się jednym z najpopularniejszych modeli wprowadzania zmian, zarówno w organizacjach amerykańskich, jak i europejskich. Potwierdza t ",,"
2008-01-01 ","
2008-01-01 ","
304 ","
polski ",,"

Książki wydawnictwa HBR zawierają zawsze dobrze dobrane treści. Są dla mnie bardzo pomocne w pracy zawodowej. 

Książki wydawnictwa HBR zawierają zawsze dobrze dobrane treści. Są dla mnie bardzo pomocne w pracy zawodowej. 



Pokaż mimo to


",
"
Zwycięstwo Jana III Sobieskiego pod Wiedniem. Echa Wiktorii ",Michał Rożek,"
powieść historyczna ",Petrus,"
978-83-927267-0-8 ","
Zwycięstwo Jana III Sobieskiego pod Wiedniem było istnym cudema, dlatego przeszło do historii Polski i Europy. Odsiecz Wiedeńska i znaczenie jej dla rozwoju Europy i świata podkreślali w swoich arcydziełach najwybitniejsi pisarze. Z szacunkiem i czcią malowali ją artyści i malarze, a temat zwycięstwa pod Wiedniem znalazł się w każdym podręczniku do historii, bo historia bez tego faktu, który wydarzył się dokładnie 325 lat temu byłaby niepełna i nieprawdziwa. ",,"
2008-01-01 ","
2008-01-01 ","
144 ","
polski ",,"

Dobrze opracowany temat, ale niezbyt pochłaniający w moim przypadku. Opisuje tradycje związane ze świętowaniem zwycięstwa pod Wiedniem, bardzo szczegółowo. 

Dobrze opracowany temat, ale niezbyt pochłaniający w moim przypadku. Opisuje tradycje związane ze świętowaniem zwycięstwa pod Wiedniem, bardzo szczegółowo. 



Pokaż mimo to


",
"
Panorama Oświecenia ",Dorian Outram,"
powieść historyczna ",Arkady,"
9788321344904 ","
Kolejna imponująca monografia, tym razem okresu intelektualnej rewolucji, która zmieniła ludzką świadomość i położyła fundamenty współczesnego świata nauki i techniki. Oświecenie to przełomowy okres w dziejach kultury europejskiej pomiędzy końcem XVII wieku a Wielką Rewolucją Francuską. To czas racjonalizmu i tolerancji, czas dociekań na temat fizycznej budowy wszechświata i natury ludzkiego umysłu, czas odrzucenia przesądów na rzecz obserwacji i eksperymentu. ",,"
2008-01-01 ","
2008-01-01 ","
319 ","
polski ",,"

Wyjątkowy wiek Oświecenia
„Czucie i wiara silniej mówi do mnie niż mędrca szkiełko i oko” - pisał Adam Mickiewicz, a słowa te stanowią pochwałę uczuć, silniejszych niż rozum czy praktyczne podejście do życia. Jednak to właśnie rozum i praktycyzm stoją za sukcesem tak wyjątkowej epoki, jaką było bez wątpienia Oświecenie. Mimo iż zwykle termin ten kojarzymy z czasami szkolnymi i z literaturą tego okresu, znajdującą się w kanonie lektur szkolnych, to jednak Oświecenie dotyczy znacznie szerszej sfery. Swoim zakresem obejmuje bowiem całokształt zjawisk i procesów zachodzących w XVIII i pierwszych latach wieku XIX w Europie. Charakteryzuje się też określonymi cechami ideologii, myśli filozoficznej, sztuki, a także formami rozpowszechniania i obiegu piśmiennictwa. Co więcej, Oświecenie miało zasięg ogólnoeuropejski, a choć za jego centrum kulturowe uważano Paryż, zaś język francuski stał się językiem elity intelektualnej i towarzyskiej, to wymiana myśli następowała tak naprawdę pomiędzy różnymi krajami. A choć „epoka Oświecenia jest jak ocean targany w różne strony przez potężny system wiatrów i pływów” - jak pisze Dorinda Outram, to jednak na tym oceanie na wyżyny wyniesiona została sztuka, muzyka czy literatura.
Okres oświecenia to bowiem czas działalności wielkich filozofów, encyklopedystów oraz uczonych, to epoka przełomowych odkryć, a także zmian społeczno-politycznych, które wpłynęły na bieg historii (np. Wielka Rewolucja we Francji, Deklaracja Praw Człowieka i Obywatela, czy w Polce – ruch reform zakończony Konstytucją 3 Maja). O tych wydarzeniach, o wichrach zmian, które szalały w okresie Oświecenia, przejmująco pisze wspomniana autorka w książce „Panorama Oświecenia”. Opublikowana nakładem Wydawnictwa Arkady pozycja to próba ukazania przez Outram struktury Oświecenia i swego rodzaju fenomenu tej epoki zarówno przez dzieła wielkich myślicieli, jak i działalność osób, o których większość z nas nie słyszała, a którzy wnieśli nieoceniony wkład w rozwój świata. Poprzeczka dla czytelnika jest postawiona wysoko, ale wszak i działacze tej epoki wiele od siebie wymagali.
Książka ma kilka tematów przewodnich, m.in. walka Oświecenia o samookreślenie w dobie globalizacji, przedstawienie Oświecenia nie tylko jako tła z którego wyłaniają się postacie klasy średniej, ale i genialnych samouków, chłopów czy robotników, a także pozostałych grup społecznych i zawodowych, wykazujących niezwykłą determinację jeśli chodzi o kwestię edukacji. Już sam tytuł – panorama – wskazuje na szerokie spojrzenie na to, co działo się w epoce Oświecenia. Nie tylko odpowiadamy wraz z Outram na pytanie czym było Oświecenie, ale przyglądamy się życiu towarzyskiemu, funkcjonowaniu rodziny w tej epoce. Z racji tego, że Oświecenie można postrzegać jako arenę międzykulturowych kontaktów, mających ogromne znaczenie nie tylko dla Europy, ale i dla tubylczych ludów, przekonujemy się, jak funkcjonował w okresie tej epoki świat, a także jakich wielkich odkryć wówczas dokonano. To wszystko opisane zostało pod kątem zwrócenia uwagi na nowe zjawisko, czyli na globalizację. 
Oświecenie to także czas „poznawania siebie”, wzorem greckich filozofów (m.in. Arystotelesa), czas wielkich filozofów i myślicieli – w tym okresie działał m.in. J. Locke, uznany za ojca nowoczesnej filozofii empirycznej. Zresztą, najważniejsza oświeceniowa koncepcja mówiąca o oddzieleniu duszy od umysłu, przyczyniła się do ukształtowania nowoczesnego pojęcia osoby. W książce poruszony został również temat władzy i wielość form jej sprawowania, a także architektury – był to bowiem czas wzmożonej aktywności na tym polu, zaś monarchowie wznosili wiele prestiżowych budowli. Autorka ukazała również Oświecenie jako wiek, w którym rozwijała się nauka i medycyna. I choć na początku epoki nauka była traktowana pogardliwie (sam Linneusz doświadczył tego podczas publicznego odczytu), powątpiewano w jej wartość intelektualną, to koniec epoki przyniósł rozszerzenie horyzontów myślowych. Powstało wówczas wiele naukowych instytucji, zaś akademicy testowali nowe wynalazki, technologie czy oceniali nowe teorie naukowe. 
Wiek Oświecenia to wreszcie olbrzymia spuścizna, pozostawiona kolejnym pokoleniom. Do tego okresu w historii odwoływano się wielokrotnie, nawet współcześnie. Zresztą teraźniejszość łączy z Oświeceniem szczególna jasność umysłu i ciekawość, którą warto w sobie pielęgnować. Jedną z form rozwoju tej ciekawości świata, jest właśnie lektura książki „Panorama Oświecenia”, wzbogaconej setkami zdjęć, potwierdzających tylko wyjątkowość tego okresu. 

Wyjątkowy wiek Oświecenia
„Czucie i wiara silniej mówi do mnie niż mędrca szkiełko i oko” - pisał Adam Mickiewicz, a słowa te stanowią pochwałę uczuć, silniejszych niż rozum czy praktyczne podejście do życia. Jednak to właśnie rozum i praktycyzm stoją za sukcesem tak wyjątkowej epoki, jaką było bez wątpienia Oświecenie. Mimo iż zwykle termin ten kojarzymy z czasami... 

więcej



mniej





Pokaż mimo to


;

Pozycja mniej encyklopedyczna, niż mogłoby się wydawać na pierwszy rzut oka, bardziej przekrojowa od typowych syntez, niektóre zjawiska tylko sygnalizująca, za to przepięknie ilustrowana, pozwalająca dosłownie nurzać się w epoce i jej obyczajowości. 

Pozycja mniej encyklopedyczna, niż mogłoby się wydawać na pierwszy rzut oka, bardziej przekrojowa od typowych syntez, niektóre zjawiska tylko sygnalizująca, za to przepięknie ilustrowana, pozwalająca dosłownie nurzać się w epoce i jej obyczajowości. 



Pokaż mimo to


",
"
Szpital św. Hallvarda. Część 1 - Rywalki ",Trine Kjus,"
literatura piękna ",Elipsa,"
9788361226710 ","
Główna bohaterka powieści, Eva Dahl, odbywa staż w Szpitalu św. Hallvarda. Spełnia się jej marzenie – zostaje lekarzem. W nowym miejscu pracy czuje się świetnie, wszyscy ją cenią i lubią. Jest jednak wyjątek…
Żądna władzy, zawistna Veronika, zatrudniona jako chirurg, przygotowuje perfidny plan. Uknuta przez nią intryga doprowadza do zbrodni, której ofiarą staje się właśnie Eva.
Czy przestępstwo zostanie ukarane? Jak potoczą się dalsze losy bohaterów? A może miłość przezwycięży wszelkie przeszkody? ",,"
2008-01-01 ","
2008-01-01 ","
187 ","
polski ","
Magdalena Stankiewicz ",,
"
Małe struktury społeczne. Wstęp do mikrosocjologii strukturalnej ",Jacek Szmatka,"
nauki społeczne (psychologia, socjologia, itd.) ",Wydawnictwo Naukowe PWN,"
9788301152185 ","
Po 15 latach od pierwszego wydania ""Małych struktur społecznych"" podział na mikrosocjologię i makrosocjologię wydaje się być coraz mniej wyraźny. Niemniej prezentowana przez autora oryginalna teoria mikrosocjologii strukturalnej sprawia, że praca ta pokonuje nie tylko bariery czasowe, ale i ograniczenia w obrębie dyscypliny, prowokując i inspirując do szukania komplementarności między tymi dwoma polami analizy badawczej. Dzięki temu też nadal pozostaje aktualnym kompendium wiedzy o małych strukturach społecznych. ",,"
2008-01-01 ","
2008-01-01 ","
308 ","
polski ",,"

Książkę przeczytałam dwukrotnie. Po raz pierwszy na początku studiów socjologicznych, a drugi raz na piątym roku przy przygotowywaniu się do egzaminu magisterskiego. Różnica jest kolosalna. 
Osobiście uważam, że raczej jest to pozycja dla ludzi z ""branży"".
Niemniej jednak jest godna polecenia. Mnie zafascynowała. 

Książkę przeczytałam dwukrotnie. Po raz pierwszy na początku studiów socjologicznych, a drugi raz na piątym roku przy przygotowywaniu się do egzaminu magisterskiego. Różnica jest kolosalna. 
Osobiście uważam, że raczej jest to pozycja dla ludzi z ""branży"".
Niemniej jednak jest godna polecenia. Mnie zafascynowała. 



Pokaż mimo to


",
