title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Chrześcijaństwo religią żydowską : Esseńczycy a chrześcijaństwo ",David Flusser,"
religia ",,,,,"
2003-01-01 ","
2003-01-01 ","
200 ","
polski ",,,
"
Co dwa serca to nie jedno ",Bob Mandel,"
poradniki ",Ravi,"
8372290431 ",,,"
2003-01-01 ","
2003-01-01 ","
212 ","
polski ",,,
"
Nihon Kendo kata ",Paul Budden,"
sport ",Diamond Books,"
9788389332035 ","
To nieprawda, że kata uczą zabijania. Takie pojęcie jest całkowicie błędne. To raczej wyższa formatreningu, z udziałem dwóch wybitnych i szlachetnych osób, nieskazitelnie czystych w swojej postawie, strojach i zachowaniu. To szermierka, wykonywana z rzetelną powagą, z naciskiem na technikę i kontrolę ruchów, lecz z drugiej strony nadzwyczaj wierna przewidzianym wzorcom. To także pewna forma konfrontacji, w której kolejne ruchy prowadzą do określonego celu. A celem nie jest śmiercionośne cięcie, zakończone umownym zabiciem przewodnika. ",,"
2003-01-01 ","
2003-01-01 ","
128 ","
polski ",,"

Jako podręcznik do nauki kendo kata pozycja wybitna. 

Jako podręcznik do nauki kendo kata pozycja wybitna. 



Pokaż mimo to


",
"
Dark Winter ",Andy McNab,"
kryminał, sensacja, thriller ",Bantam Press,"
9780593050255 ","
Outside of Pakistan, the world's highest concentration of al-Qaeda lurks in South-East Asia and there, Nick Stone's bosses get wind of an act of terror that will dwarf even the nightmare of 9/11.

When Stone is despatched to Malaysia by the CIA to assassinate a biochemist, he expects his mission to be a straightforward part of the fight against Bin Laden. But there are complications, not least because he is working alongside an attractive woman whose motives he doesnût fully understand.

Target neutralized, Stone returns to the USA and a maelstrom of personal problems. Kelly, the fourteen-year-old orphan to whom he is joint guardian, cannot escape the ghosts of her traumatic past; she has a prescription drug habit that's spiralling out of control, and Stone knows he is the only one who can help her. He takes her to recuperate in England, but the terrible consequences of what happened in Penang are never far behind.

Realizing he cannot escape them, Stone unearths a doomsday threat against the populations of New York, London and Berlin and finds himself facing an unspeakable trade-off: the life of someone he loves, against those of millions he doesnût even know . . . ",,"
2003-01-01 ",,"
419 ","
angielski ",,,
"
Ziołolecznictwo. Tradycja i przyszłość ",Jerzy Lutomski,"
zdrowie, medycyna ",Tower Press,"
8387342572 ","
Książka opisuje właściwości preparatów roślinnych i ziół stosowanych w leczeniu układu odpornościowego, chorób wieku podeszłego, przeziębień, chorób reumatycznych, skóry. Wskazuje też zioła zawierające najwięcej witamin. ",,"
2003-01-01 ","
2003-01-01 ","
142 ","
polski ",,"

Przyjemna monografia poparta badaniami naukowymi. 

Przyjemna monografia poparta badaniami naukowymi. 



Pokaż mimo to


",
"
Vernon God Little ",DBC Pierre,"
satyra ",Faber and Faber,"
0571215157 ","
Named as one of the 100 Best Things in the World by GQ magazine in 2003, the riotous adventures of Vernon Gregory Little in small town Texas and beachfront Mexico mark one of the most spectacular, irreverent and bizarre debuts of the twenty-first century so far. Its depiction of innocence and simple humanity (all seasoned with a dash of dysfunctional profanity) in an evil world is never less than astonishing. The only novel to be set in the barbecue sauce capital of Central Texas, Vernon God Little suggests that desperate times throw up the most unlikely of heroes. ",,"
2003-01-01 ",,,"
angielski ",,,
"
Grzyby w kulturze ludowej ",Mirosław Marczyk,"
nauki społeczne (psychologia, socjologia, itd.) ",Atla 2,"
8388555960 ",,,"
2003-01-01 ","
2003-01-01 ","
168 ","
polski ",,,
"
Egipt starożytny ",praca zbiorowa,"
historia ",Inwestycje,"
83-7423-438-5 ","
Jak daleko sięgała władza faraona? Dlaczego Egipcjanie budowali piramidy? W jaki sposób przenosili kamienne bloki, ważące ponad dwie tony? Co działo się w świątyniach? Dlaczego balsamowano zmarłych? Czy wszystkie dzieci chodziły do szkoły? Jak się udało odczytać hieroglify? Jakie skarby ukryte były w grobowcu młodego króla Tutanchamona? Czy faraonami mogły być kobiety?

Odpowiedzi na te oraz inne nurtujące i pasjonujące pytania znajdziecie w tej książce, a liczne ilustracje
pozwolą lepiej poznać nadzwyczajną cywilizację starożytnego Egiptu. ","
L'Egypte Ancienne ","
2003-01-01 ","
2003-01-01 ","
125 ","
polski ","
Julia Celer ",,
"
Zdradzony Bóg ",Michael Paulson,"
reportaż ",Oficyna Wydawnicza Panteon,"
8388925210 ",,"
Betrayal. The Crisis in the Catholic Church ","
2003-01-01 ","
2003-01-01 ","
320 ","
polski ","
Dorota Strukowska ","

Kawał dobrej, śledczej roboty.
Temat bardzo trudny, czyta się również trudno, po kilka stron, bo nie da się ciągiem. Ale warto zapoznać się z tą pozycją, ponieważ problem pedofilii w kościele katolickim ciągle istnieje i należy go bezkompromisowo potępiać i nagłaśniać.
Osoba, która z natury i powołania ma chronić niewinne istoty okazuje się niebezpiecznym drapieżnikiem, który niszczy psychikę małych dzieci. 
Naprawdę jestem bardzo zła, że takie osoby chronią się pod czarną sutanną i pod skrzydłami instytucji, która zamiast karać ich czyny, tylko je zamiata pod dywan.
Ogromna złość - to jest uczucie, które mam po przeczytaniu tej książki. 

Kawał dobrej, śledczej roboty.
Temat bardzo trudny, czyta się również trudno, po kilka stron, bo nie da się ciągiem. Ale warto zapoznać się z tą pozycją, ponieważ problem pedofilii w kościele katolickim ciągle istnieje i należy go bezkompromisowo potępiać i nagłaśniać.
Osoba, która z natury i powołania ma chronić niewinne istoty okazuje się niebezpiecznym drapieżnikiem,... 

więcej



mniej





Pokaż mimo to


;

Historia ważna i ciekawa. Porusza temat pedofilii w Kościele opisując konkretne przypadki. To tzw. śledztwo dziennikarskie, na potrzeby książki rozdmuchana treściowo. 

Historia ważna i ciekawa. Porusza temat pedofilii w Kościele opisując konkretne przypadki. To tzw. śledztwo dziennikarskie, na potrzeby książki rozdmuchana treściowo. 



Pokaż mimo to


",
"
Wiza do przedwczoraj ",Jurij Drużnikow,"
literatura piękna ",Arcana,"
8389243156 ","
Oleg Niemiec, ewakuowany w czasie wojny na Wschód, wyemigrował na Zachód. Przylatuje teraz z San Francisco do Rosji. Udaje mu się zajrzeć w przeszłość dociera do przesłania ojca zaginionego bez wieści w czasie wojny. ","
Виза в позавчера ","
2003-01-01 ","
2003-01-01 ","
205 ","
polski ",,,
