title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Kochaj śnieg, unikaj lawin ",Marcin Kacperek,"
poradniki ",,"
8385832602 ","
Książka może się okazać przydatna i ciekawa dla tych, którzy bywają w górach zimą narciarzy, turystów i wspinaczy, ale również dla osób pragnących zrozumieć fenomen lawin bez zamiaru praktycznego wykorzystywania wiedzy. Do książki dołączono płytę VCD, na której znajdują się klipy instruktażowe będące ilustracją do odpowiednich części książki. ",,"
2005-01-01 ","
2005-01-01 ","
132 ","
 polski ",,,
"
Wspomnienia o Leopoldzie Buczkowskim ",Jan Tomkowski,"
biografia, autobiografia, pamiętnik ",Dom na Wsi,"
8391999262 ","
Wspomnienia m.in. Mariana Pilota czy rodziny pisarza; książka zawiera także Dwanaście listów Leopolda Buczkowskiego

/pod red. Jana Tomkowskiego/ ",,"
2005-01-01 ","
2005-01-01 ","
287 ","
polski ",,,
"
Skarby z pobojowisk ",India,"
historia ",Military Book,"
8392285204 ",,,"
 2005-01-01 ","
2005-01-01 ","
200 ","
polski ",,"

Po raz pierwszy spotkałem się z książką autorstwa India o eksploracji i poszukiwaniach pamiątek historii, skarbów. Od samego początku tego dzieła spotykamy się nie zwykłą fascynacją, pasją np. nawet taka przedstawiona w tej książce ""manierka"" może być dla poszukiwacza ogromnym skarbem.
Autorka zaraża swoim hobby czytelnika swoją otwartością, czasem ostrym dowcipem, nie przeszkadza jej błoto, piach, gorąc czy mróz, a nawet zaawansowana ciąża..
Cichym i głównym bohaterem tej książki oprócz autorki Indi jest jej mąż: Piotr, to on wciągnął ją w te zamiłowanie do eksploracji i poszukiwania, jak zauważyłem jest dla niej mentorem, mistrzem, na pewno bardzo dużo się nauczyła od niego. Dodatkowym zauważalnym plusem i atutem książki jest miłość pomiędzy nimi, szacunek jakim się darzą i wspierają, to są takie bratnie dusze. 
Całość sprawiła że czytałem jednym tchem, chociaż książka należy do niszowych treści, to mogę ją polecić do przeczytania i zapoznania a na pewno każdego wciągnie i nie będzie to stracony czas. 

Po raz pierwszy spotkałem się z książką autorstwa India o eksploracji i poszukiwaniach pamiątek historii, skarbów. Od samego początku tego dzieła spotykamy się nie zwykłą fascynacją, pasją np. nawet taka przedstawiona w tej książce ""manierka"" może być dla poszukiwacza ogromnym skarbem.
Autorka zaraża swoim hobby czytelnika swoją otwartością, czasem ostrym dowcipem, nie... 

więcej



mniej





Pokaż mimo to


",
"
Polska Podziemna na Pomorzu w latach 1939-1945 ",Bogdan Chrzanowski,"
powieść historyczna ",Polnord-Oskar,"
838992305X ",,,"
2005-01-01 ","
2005-01-01 ","
661 ","
polski ",,,
"
Przewodnik po e-learningu. Szkolenia ",Marek Hyla,"
biznes, finanse ",Oficyna Ekonomiczna,"
8389355752 ","
Pierwsza publikacja, która w tak wyczerpujący sposób omawia tematykę szeroko rozumianego e-learningu. Porusza zagadnienia organizacyjne i technologiczne będące z pewnością pomocą dla osób szkolonych w systemie e-learningu oraz dla pracowników działów szkoleń, którzy muszą wzbogacić swoje kompetencje, aby umieć połączyć działające w ich firmach szkoleniowe procesy biznesowe z zaawansowanymi technologiami edukacyjnymi. ",,"
2005-01-01 ","
2005-01-01 ","
15 ","
polski ",,"

Książka napisana przez jednego z najlepszych specjalistów w branży. Kupiłem na potrzeby pisania pracy licencjackiej w 2010 roku. Sporo technicznych wskazówek, które skierowane są raczej dla ludzi związanych z tą metodą nauki - prowadzących kursy, rzadziej dla kursantów bo części informacji po prostu nie zrozumieją. 

Książka napisana przez jednego z najlepszych specjalistów w branży. Kupiłem na potrzeby pisania pracy licencjackiej w 2010 roku. Sporo technicznych wskazówek, które skierowane są raczej dla ludzi związanych z tą metodą nauki - prowadzących kursy, rzadziej dla kursantów bo części informacji po prostu nie zrozumieją. 



Pokaż mimo to


;

Dość wyczerpujące przedstawienie różnych aspektów związanych z e-learningiem, do tego płyta na CD. Autor jest jednym z lepszych specjalistów w tej dziedzinie, dlatego warto sięgnąć po ten przewodnik i poznać różne praktyczne i teoretyczne zagadnienia kształcenia na odległość.Warto też odwiedzić stronę autora, a nawet stworzyć tam swoje konto: http://www.szkoleniaxxiwieku.pl/ 

Dość wyczerpujące przedstawienie różnych aspektów związanych z e-learningiem, do tego płyta na CD. Autor jest jednym z lepszych specjalistów w tej dziedzinie, dlatego warto sięgnąć po ten przewodnik i poznać różne praktyczne i teoretyczne zagadnienia kształcenia na odległość.Warto też odwiedzić stronę autora, a nawet stworzyć tam swoje konto: http://www.szkoleniaxxiwieku.pl/ 



Pokaż mimo to


",
"
Współczesna teologia prawosławna ",Karl Christian Felmy,"
religia ",Prawosławna Diecezja Białostocko-Gdańska,"
839227900X ","
Autor w tej pracy przybliża wszystkim piękno i bogactwo prawosławnej teologii ukazując ją z innej perspektywy niż w scholastycznej teologii zachodniej. Stąd też ma ona swoją wyjątkową wartość. Jest pożyteczna i potrzebna dla prawosławnych, którzy szukają odpowiedzi na kluczowe, różniące z innymi wyznaniami, zagadnienia teologiczne, ale również dla tych, którzy interesują się prawosławiem i pragną poznać prawosławny punkt widzenia na ważkie kwestie. Autor nie tylko skupia się na współczesnych teologach prawosławnych, ale zarazem cytuje Ojców Kościoła i operuje, co jest bardzo cenne, tekstami liturgicznymi. ","
Die orthodoxe Teologie der Gegenwart ","
2005-01-01 ","
2005-01-01 ","
314 ","
polski ",,,
"
Nowa poezja polska 1989 - 1999 ",Karol Maliszewski,"
literatura piękna ",Oficyna Wydawnicza ATUT,"
9788374320221 ","
Książka jest zmienioną wersją pierwszej części pracy doktorskiej pt. Na tropach nowej świadomości poetyckiej. O poezji pokolenia bruLionu i następców obronionej na Wydziale Filologii Polskiej Uniwersytetu Wrocławskiego. ",,"
2005-01-01 ","
2005-01-01 ","
140 ","
polski ",,"

Karol Maliszewski prezentuje rozważania na temat""Brulionowców"" ich wersji post i kreśli wizję poety XXI wieku. Rozważania przybliżają czytelnikowi charakterystyczne cechy danego okresu i jej autorów. 

Karol Maliszewski prezentuje rozważania na temat""Brulionowców"" ich wersji post i kreśli wizję poety XXI wieku. Rozważania przybliżają czytelnikowi charakterystyczne cechy danego okresu i jej autorów. 



Pokaż mimo to


",
"
Tomcio Paluch ",Jarosław Mikołajewski,"
literatura dziecięca ",Agora,"
9788360225110 ","
(...)"" Biały jegomość przetarł wybałuszone oczy, pokiwał głową, posadził sobie Tomcia na dłoni i opowiedział mu krótką, ale niezwykłą historię. 
- Widzisz, Tomciu - wyszeptał. - Jestem królewskim kucharzem i co piątek królewski rybak przynosi mi szczupaka, żebym ugotował z niego królewski obiad. I dzisiaj razem ze szczupakiem przyniósł ciebie: leżałeś w brzuchu ryby jak nieżywy i spałeś w najlepsze...""

Ilustracje: Paweł Pawlak. ",,"
2005-01-01 ","
2005-01-01 ","
38 ","
polski ",,,
"
Ciąża poród opieka nad dzieckiem ",Morin Yves,"
poradniki ",Larousse,"
8389181843 ","
Poradnik encyklopedyczny Ciąża, poród i opieka nad dzieckiem był konsultowany przez specjalistów z Instytutu Matki i Dziecka. Jako pierwsza i jak dotąd jedyna publikacja tego typu otrzymał rekomendację IMiD. To jedna z najważniejszych i najlepszych książek dla rodziców, jakie w ostatnich latach ukazały się w Polsce. ",,"
2005-01-01 ","
2005-01-01 ","
184 ","
polski ",,,
"
Modlitwa ",John Bunyan,"
religia ","Towarzystwo Upowszechniania Myśli Reformowanej ""HORN""","
8391649415 ","
Niezrównane alegorie Johna Bunyana i ich ponadczasowość wciąż wywołują pytania chrześcijan oraz badaczy historii tej niezwykłej osoby.

Co niezwykłego było w tym człowieku, że w tak prosty i ponadczasowy sposób potrafił przekazać prawdy ewangelii w swoich dziełach? Jego „Dzieje Ludzkiej Duszy” i „Wędrówka Pielgrzyma” nic nie straciły na wartości i wciąż z potężną mocą przemawiają do serc i umysłów wierzących.

Bunyan był człowiekiem modlitwy, a to właśnie poprzez osobisty kontakt z Bogiem człowiek obdarzany jest duchową mocą, a jego służba staje się duchowo skuteczna. Książka „Modlitwa” stanowi sekret kuchni duchowej mocy autora. ","
Prayer ","
2005-01-01 ","
2005-01-01 ","
148 ","
polski ","
Łukasz Kłykow ",,
"
Pozwólcie dzieciom przychodzić do mnie ",Paweł Lekszycki,"
poezja ",Korporacja Ha!art,"
8389911248 ","
""Wiele było w naszej literaturze dzienników nauczycieli, wstrząsających świadectw uporu, z jakim kolejne ""siłaczki"", kolejni ""siłacze"", tracąc zdrowie wpajali kolejnym pokoleniom podstawy wiedzy i wychowania. Na tym tle liryczne świadectwo Lekszyckiego jest wyjątkowe. Rozterki prowincjonalnego nauczyciela rzadziej skupiają się na problemach wychowawczych, częściej na urokach uczennic. Lekcja pierwsza, organizacyjna - ""No,/ tylko proszę sobie nie wyobrażać,/ niczego nie oczekiwać, niczego się po mnie/ nie spodziewać"". Nauczyciel Lekszycki, jak widać, nie stawia przed sobą zbyt wygórowanych wymagań zawodowych. ""Pozwólcie dzieciom przychodzić do mnie"" z powodzeniem może startować w lirycznych zawodach o puchar największego prześmiewcy tak polskiej szarzyzny, jak i nadętej poezji ""tych wspaniałych panów od uniwersalnych wartości"".""
Igor Stokfiszewski ",,"
2005-01-01 ","
2005-01-01 ",,"
polski ",,,
"
Miody pitne ",Jan Rogala,"
kulinaria, przepisy kulinarne ",Baobab,"
8389642220 ","
Poradnik który z zamierzenia ma służyć jako źródło przepisów na warzenie miodów pitnych. Zawiera w sobie także szczegółowy rys historyczny sztuki warzenia, starej jak piastowskie ziemie. Wśród przepisów znajdziemy między innymi: maliniaka półsłodkiego, chartreuse, krampapuli oraz kontuszówkę. ",,"
2005-01-01 ","
2005-01-01 ","
169 ","
polski ",,,
"
Za czarną szybą ",Tomasz Adamski,"
poezja ",Lampa i Iskra Boża,"
8389603330 ","
Zbiór wierszy i prozy poetyckiej lidera legendarnego zespołu nowofalowego z lat 90. - Siekiery. ",,"
2005-01-01 ","
2005-01-01 ","
93 ","
polski ",,,
"
Zenbu Ore no Mono ",Mei Sakuraga,"
komiksy ",Houbunsha,,"
Opowieść o zakładzie, w wyniku którego Tsukasa zostaje niewolnikiem Hijiriego. ",,"
2005-01-01 ",,,"
japoński ",,,
"
Raz dokoła ",Waldemar Bawołek,"
literatura piękna ",Księgarnia Akademicka,"
837188818X ","
Enuncjacje Waldemara, bohatera i narratora Raz dokoła, przyjmuje się nie bez oporów. Nieraz trudno pozbyć się wrażenia, iż przedstawianego przez niego obrazu świata nie zniekształca osobista potrzeba, nastrój czy okoliczności, w jakich przemawia. Czasami można sądzić, iż narrator dokonuje cięć i selekcji we własnych wypowiedziach – i że w zasadzie robi to nie po to, by zataić coś przed potencjalnym odbiorcą, lecz przed samym sobą.
Męczą mnie rozmowy powierzchowne. Nie mam ochoty komukolwiek wydawać się atrakcyjnym. Nie troszczę się o to, jakie wrażenie wywieram na innych i jakie uczucia wywołuję. Gaszę światło. Zapalam światło. Obnoszę się ze swoją obojętnością, nie mając w ogóle ochoty, by wypłynąć z oceanu egoizmu. (…) Własna śmierć nie jest klęską. (…) Skrupulatnie zacząłem obmyślać spektakularne odejście. Nie ma strachu w mych oczach. Nic w dłoniach nie dźwięczy. Żadnych pragnień, echa słów. Pokój po brzegi wypełniony rozkładem. (…) Mam dosyć podążania do doskonałości – konstatuje czterdziestojednoletni mężczyzna, od długiego czasu bezrobotny, żyjący z żoną w separacji i utrzymywany przez siostrę. Jednak powiedzieć o Raz dokoła, że to opowieść o roku z życia człowieka pozbawionego zajęcia, to wydać sąd tyleż prawdziwy, co i nieprawdziwy. ",,"
2005-01-01 ","
2005-01-01 ","
182 ","
polski ",,,
"
Gwiazda ",Pamela Anderson,"
literatura piękna ",Bellona,"
9788311102705 ","
Esther Wood Leigh, 22-latka pochodząca z małej mieściny na Florydzie jest piękną, zgrabną i wysportowana dziewczyną. Pracuje na dwóch posadach, żeby zarobić na kurs dla kosmetyczek i jednocześnie marzy o wyrwaniu się ze swojego szarego, nudnego świata. ",,"
2005-01-01 ","
2005-01-01 ","
327 ","
polski  ",,,
"
Węgry ",Wiesława Rusin,"
turystyka, mapy, atlasy ",Pascal,"
8373044167 ","
jak wyżej ",,"
2005-01-01 ","
2005-01-01 ","
558 ","
polski ",,,
