title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
250 dowcipów po polsku 250 witze auf deutsch ",Małgorzata Dolistowska,"
rozrywka ",Literat,"
9788389420053 ","
Dzięki tej książce można nie tylko wspaniale się bawić i śmiać z rozmaitych kawałów, lecz także nauczyć się języka niemieckiego lub sprawdzić, w jakim stopniu już się go opanowało. ",,"
2006-01-01 ","
2006-01-01 ","
143 ","
polski ",,"

Z pewnością gratka dla osób pasjonujących się językiem niemieckim. Osobiście przeczytałam w zasadzie tylko polskojęzyczną połowę, od czasu do czasu porównując z oryginałem (?).
Ocenić trudno, wiele z tych kawałów znałam, inne zupełnie mnie nie bawiły, a niektóre naprawdę rozśmieszyły. 

Z pewnością gratka dla osób pasjonujących się językiem niemieckim. Osobiście przeczytałam w zasadzie tylko polskojęzyczną połowę, od czasu do czasu porównując z oryginałem (?).
Ocenić trudno, wiele z tych kawałów znałam, inne zupełnie mnie nie bawiły, a niektóre naprawdę rozśmieszyły. 



Pokaż mimo to


",
"
Sienkiewicz w Ameryce ",Zdzisław Peszkowski,"
biografia, autobiografia, pamiętnik ",wydano nakładem autora,,,,"
2006-01-01 ","
2006-01-01 ","
136 ","
polski ",,,
"
Komunizm i po komunizmie ",Marcin Kula,"
historia ",TRIO,"
9788374360937 ","
Wybór artykułów, publikowanych w różnych latach i dotyczących ustroju realnego socjalizmu oraz jego upadku. Są to wypowiedzi historyka, który snuje refleksje nad historią współczesną lub prawie współczesną, nieraz bezpośrednio ją obserwując. Z wykształcenia autor jest historykiem i socjologiem. Z praktyki w znacznie większym stopniu historykiem, który jednak żywi głębokie przekonanie o potrzebie łączenia obu dyscyplin. Dokonując takiego, a nie innego wyboru artykułów, chciał pokazać, że socjologia historyczna ma sens. ",,"
2006-01-01 ","
2006-01-01 ",,"
polski ",,,
"
Szczekaczka czyli Rozgłośnia Polska Radia Wolna Europa ",Jolanta Hajdasz,"
powieść historyczna ",Media Rodzina,"
9788372782052 ","
Czytelnicy tej książki dowiedzą się mnóstwa szczegółów o działalności Rozgłośni Polskiej Radia Wolna Europa, o założeniach, jakimi kierował się pierwszy dyrektor Jan Nowak Jeziorański, o współpracy z dyrekcją amerykańską, a także o próbach infiltracji dokonywanych przez ubecki wywiad PRL. ",,"
2006-01-01 ","
2006-01-01 ","
366 ","
polski ",,,
"
Herbata z kwiatem agłai ",Piotr Madej,"
literatura piękna ",Miniatura,"
8370817971 ","
Główna oś fabuły skupia się na rozwoju znajomości między pewnym bibliotekarzem i pewną sklepową (...).
Rozmawiają ze sobą za pomocą kodu, a są nim książki, które w danej chwili czytają. I te właśnie aluzje literackie tworzą jakby drugi poziom powieści.
Narratorem jest bibliotekarz. Oprócz opowieści o atrakcyjnej sklepowej, zwierza się nam z nieustannego poszukiwania przyjaciela (...). Poznajemy więc galerię jego znajomych i wnikamy w środowiska: anarchistów, ekologów, punków i wegetarian, nie wspominając oczywiście o bibliotekarzach (...). 
Przesłaniem książki wydaje się być (...) przyjemność odkrywania piękna w ludziach i rzeczach. ",,"
2006-01-01 ","
2006-01-01 ","
206 ","
polski ",,,
"
Koralikowe bransoletki przyjaźni ",Ingrid Moras,"
rękodzieło ",Jedność,"
8374423609 ","
W tej książeczce znajdziecie niezwykłe pomysły na zabawne i pomysłowe koralikowe bransoletki przyjaźni z motywami: kolorowych ptaków, motyli, kotków, mieniących isę chrząszczy i galopujących koni... ",,"
2006-01-01 ","
2006-01-01 ","
32 ","
 polski ",,,
"
Drobnotki ",Kazimierz Wójtowicz CR,"
literatura piękna ",Wydawnictwo Wrocławskiej Księgarni Archidiecezjalnej TUM,"
83-7454-038-9 ","
Książeczka z krótkimi opowiadaniami i aforyzmami. ",,"
2006-01-01 ","
2006-01-01 ","
142 ","
polski ",,,
"
Biznes w sieci ",Colin Barrow,"
biznes, finanse ",Felberg SJA,"
8388667548 ","
Książka jest też użytecznym elementarzem dla przyszłych e-biznesmenów. W cyfrowej rzeczywistości krzywa uczenia się jest stroma i tylko nieliczni osiągną na czas jej szczyt. Teraz zaś, kiedy w sieciowych inwestycjach chodzi nie tyle o lokowanie nadmiarów gotówki, ile o osiąganie zysków, zorientowanie się, dlaczego części przedsiębiorców ta sztuka się udała, a części nie, może pozwolić na szybsze wybranie właściwej drogi lub uniknięcie największych zagrożeń. Autor książki, Colin Barrow, jest kierownikiem Katedry Przedsiębiorczości w Cranfield School of Management i dyrektorem Programu Wzrostu i Rozwoju Działalności Gospodarczej, najbardziej znanego brytyjskiego programu dla przedsiębiorców. Jest również członkiem-założycielem zespołu, który założył działającą przy uczelni wylęgarnię sieciowej przedsiębiorczości CranfieldCreates. ",,"
2006-01-01 ","
2006-01-01 ","
293 ","
polski ",,,
"
Ostatni z żyjących ",Agnieszka Hałas,"
poezja ",Norbertinum,"
9788372222770 ","
zapalająca świece w jesiennych komnatach

z ptasich skrzydeł na tle bladego nieba

odczytywałam wróżbę na nadchodzące dni

dziś wiem że choć nie spełniają się przepowiednie

można być niczym mewa toczący się kamień

jednak można zachować beztroskę bezcelowość i obcość

i poruszać się jak woda w każdym z możliwych kierunków



zapalająca świece w jesiennych komnatach

zniszczyłam wszystkie swoje nieudane szkice

już nie dziecko potrafię patrzeć prosto w oczy

i potrafię się śmiać



[* * * zapalająca świece... — fragment]

Zbiór wierszy pisanych w latach 1998-2005. ",,"
2006-01-01 ","
2006-01-01 ","
66 ","
polski ",,"

Na początku nie widziałam w tym tomiku nic świeżego, ani odkrywczego aż do.. ""Portretu Królowej"". Genialny wiersz - utrzymany w atmosferze niesamowitości i grozy. Powieści autorki nie czytałam, ale słyszałam, że jest to dark fantasy. Jeśli chodzi o ten tomik, to właśnie nie podobają mi się użyte nieraz sztampowe wyrażenia poetyckie typu: ""suche szyby ich oczu - bez śladu łez"", natomiast wspaniałe są dla mnie wiersze utrzymane właśnie w typie ciemnej fantastyki. 

Na początku nie widziałam w tym tomiku nic świeżego, ani odkrywczego aż do.. ""Portretu Królowej"". Genialny wiersz - utrzymany w atmosferze niesamowitości i grozy. Powieści autorki nie czytałam, ale słyszałam, że jest to dark fantasy. Jeśli chodzi o ten tomik, to właśnie nie podobają mi się użyte nieraz sztampowe wyrażenia poetyckie typu: ""suche szyby ich oczu - bez śladu... 

więcej



mniej





Pokaż mimo to


",
"
Bojki Śląskie ",Marek Szołtysek,"
baśnie, legendy, podania ",Śląskie ABC,"
8388966189 ","
Kolorowa książka po śląsku i o Śląsku skierowana dla dzieci i dorosłych. Są w niej wierszyki, śląskie kolorowanki i pełno bojek o bebokach, skorzotach, szczigach, heksach, utopkach, piecuchach i podciepach.

Znajdziesz tutaj również opowieści o takich śląskich zbójach jak Eliasz i Postulka, Rabczyk z Kępki, Sobczyk z Gliwic czy Ramża. Są też tradycyjne bajki, w których jednak Kopciuch jest z Cieszyna, śpiąca królewna z Lipin, złota rybka z Rybnika, Calineczka z Dąbrówki Małyj, Pinokio z Panewnik, a Dziołszka ze sztracheclami z Katowic.

W książce są również dwa scenariusze teatrzyków po śląsku oraz niezwykłe wzory śląskich zabaw. Między innymi znajdziesz tam dokładne wskazówki jak zrobić mysz i żabę z taszyntucha (z chusteczki) czy helikopter albę żabę z papieru. Nie przegap tej książki. ",,"
2006-01-01 ","
2006-01-01 ","
98 ","
polski ",,,
"
Otwock i okolice. Przewodnik ",Jacek Kałuszko,"
turystyka, mapy, atlasy ",Rewasz,"
838918849X ","
Przewodnik opisuje fragment południowo-wschodniego Mazowsza rozciągający się na wschodnim brzegu Wisły od ujścia Wilgi aż po Wawer. Z powodów krajoznawczych opisano jednak Górę Kalwarię i Czersk leżące na zachodnim brzegu Wisły. Na północy przewodnik sięga kolei terespolskiej na odcinku Rembertów - Dębe Wielkie, opisano nadto Okuniew i Długą Kościelną. Wschodni zasięg przewodnika wyznacza rezerwat ""Świder"". Od południa i wschodu okolice Otwocka nie mają wyraźnej granicy; obszar opisany w przewodniku kończy się na ujściu Wilgi, skraju Garwolina, Hucie Czechy, Dłużewie i Grzebowilku. Na opisanym obszarze jest położony Mazowiecki Park Krajobrazowy. Atrakcją etnograficzną jest region kołbielski, a przyrodniczą doliny Wisły i Świdra. Opisano wszystkie szlaki znakowane w okolicach Otwocka w liczbie 17. Opisano także 5 tras rowerowych, 1 samochodową i 2 przyrodnicze.

Przewodnik składa się z kilku części: najpierw autorzy podają informacje ogólne o regionie, prezentują także wybrane tematy dotyczące najciekawszych miejsc i wydarzeń, zagadnienia kulturowe i przyrodnicze. Dwie następne części to opisy tras pieszych, rowerowych i przyrodniczych. Dzieła dopełnia obszerny, liczący 120 stron słownik krajoznawczy. ",,"
2006-01-01 ","
2006-01-01 ","
288 ","
polski ",,,
"
Wallace i Gromit: Klątwa królika ",praca zbiorowa,"
powieść przygodowa ",Bellona,"
8311105812 ","
Akcja dzieje się w latach sześćdziesiątych XX w. na przedmieściach Wigan, gdzie trwa gorączkowe przygotowywanie do konkursu na największe warzywo. Impreza ta odbywa się nieprzerwanie od kilkuset lat w pałacu Tottington, stając się najważniejszym wydarzeniem kulturalnym dla wielu okolicznych mieszkańców. Niestety imprezie tej od zawsze towarzyszą liczne problemy. Tym razem jest to niespotykana dotychczas plaga królików. Głównym sprzymierzeńcem ogrodników jest Anti-Pesto – firma prowadzona przez Wallace'a, zajmująca się humanitarnym wyłapywaniem wszelkich szkodników. Jednak nawet najbardziej wyrafinowane pułapki zawodzą, gdy w okolicach zaczyna grasować bestia, która pod osłoną nocy bezlitośnie szlachtuje bezbronne warzywa… ","
Wallace & Gromit: The Curse of the Were-Rabbit ","
2006-01-01 ","
2006-01-01 ","
80 ","
polski ","
Jakub Klingofer ",,
"
Encyklopedia Gdyni ",praca zbiorowa,"
encyklopedie, słowniki ",Verbi Causa,"
8392157184 ","
Encyklopedia Gdyni jest pierwszym tak obszernym i - w miarę możliwości - kompletnym zbiorem informacji o mieście, przeznaczonym dla szerokiego kręgu Czytelników. Liczy tysiąc stron, ponad cztery tysiące haseł syntetycznych oraz szczegółowych, w tym wiele ilustrowanych. Obejmuje dzieje Gdyni od czasów najdawniejszych do współczesnych, historię budowy miasta i portu, informacje dotyczące rozwoju terytorialnego, ludności, urbanistyki i architektury, gospodarki, kultury i sztuki, nauki i oświaty, instytucji oraz firm prywatnych, państwowych i komunalnych, organizacji społecznych, partii politycznych, klubów sportowych i wielu innych zagadnień istotnych dla pełnego obrazu miasta.
Ważną częścią tej publikacji są biogramy ludzi, którzy Gdynię stworzyli. Tysiące z nich porzuciło w latach 20. dotychczasowe życie i przybyło nad brzeg Bożej Zatoczki, żeby budować tu miasto i port. Wielu zrezygnowało z majątków, dystynkcji i karier w obcych krajach by odradzającej się po rozbiorach Rzeczpospolitej ofiarować swoją wiedzę, doświadczenie, zdolności organizacyjne, siły twórcze. Gdy wybuchła II wojna - przelewali w jej obronie krew, walczyli na wszystkich frontach świata, cierpieli w obozach jenieckich, ginęli w Piaśnicy. Bardzo wielu wróciło po wojnie do ojczyzny by po raz kolejny podnosić ją z gruzów i... padło ofiarą nowego systemu, który dostrzegł w nich nie patriotów i bohaterów, lecz wrogów. Komunistyczna władza zniszczyła to, co z takim trudem tworzyli - likwidując lub zagrabiając dziesiątki, a może setki firm, usuwając z wojska (a niekiedy skazując na więzienie i śmierć) najwybitniejszych dowódców, pozbawiając pracy b. żołnierzy Armii Krajowej. Zmarnowany został ogromny potencjał gospodarczy, okrutnie skrzywdzeni ludzie. I nie są to przykłady jednostkowe, incydentalne, ale niemal reguła. Dlatego czytając biogramy twórców Gdyni trudno oprzeć się uczuciu goryczy: o ile dalej bylibyśmy dziś, gdyby nie tamte bezmyślne, a często zbrodnicze decyzje. Oczywiście nie przekreślamy sukcesów lat powojennych i z szacunkiem piszemy także o tych, którzy w czasach PRL nie szczędzili sił dla miasta i pięknie zapisali się w jego historii.
Bo na Gdynię dzisiejszą - dynamiczną i piękną - składa się dorobek wszystkich pokoleń jej obywateli. ",,"
2006-01-01 ","
2006-01-01 ","
1000 ","
polski ",,"

Bardziej przejrzana niż przeczytana, w posiadaniu raczej jako ciekawostka niż absolutny must have. ;) 

Bardziej przejrzana niż przeczytana, w posiadaniu raczej jako ciekawostka niż absolutny must have. ;) 



Pokaż mimo to


",
